source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,6490000,51,2,0,0,1,0,1,velmi dobre,vybavene,osobni,Praha 5,50.058281,14.410919
sreality,22500000,198,4,1,0,1,0,5,velmi dobre,vybavene,osobni,Brno,49.185013,16.632212
sreality,8909900,58,2,1,1,0,1,2,novostavba,vybavene,osobni,Praha 9,50.151951,14.522381
sreality,13900000,91,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 10,50.019268,14.58224
sreality,5990000,27,1,1,1,1,1,3,novostavba,vybavene,osobni,Praha 6,50.082985,14.311815
sreality,14490000,70,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 9,50.095055,14.509292
sreality,6800000,38,1,1,1,1,0,1,velmi dobre,vybavene,osobni,Praha 3,50.078705,14.458613
sreality,7100000,36,1,1,1,0,0,4,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135
sreality,8300000,44,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135
sreality,14890000,95,3,1,1,1,0,3,novostavba,vybavene,osobni,Praha 5,50.060966,14.398317
sreality,10190000,64,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 6,50.082985,14.311815
sreality,6825000,70,4,0,1,0,0,6,velmi dobre,vybavene,osobni,Kladno,50.130787,14.121769
sreality,10626000,66,2,1,1,0,0,4,novostavba,vybavene,osobni,Praha,50.120098,14.4767
sreality,12490000,106,3,1,1,1,1,2,velmi dobre,vybavene,osobni,Praha 10,50.051746,14.526683
sreality,6290400,80,3,0,1,0,0,5,dobre,vybavene,osobni,Plzeň,49.738426,13.393032
sreality,12360000,114,3,0,1,1,0,3,velmi dobre,vybavene,osobni,Brno,49.200058,16.611641
sreality,6320000,35,2,1,1,1,0,8,velmi dobre,vybavene,osobni,Praha,50.023621,14.453553
sreality,9790000,69,2,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.097118,14.480231
sreality,12990000,76,3,1,1,0,1,1,velmi dobre,vybavene,osobni,Praha 10,50.042538,14.549793
sreality,8495000,59,2,0,0,0,0,1,velmi dobre,vybavene,osobni,Praha 9,50.108452,14.509345
