source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,14890000,95,3,1,1,1,0,3,novostavba,vybavene,osobni,Praha 5,50.060966,14.398317,0.027342339377110312,0.7002725033716295,0.40553701119696617,0.1577518645210253,0.04616413769001015,0.6203722227284663
sreality,10190000,64,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 6,50.082985,14.311815,0.023011246124361052,0.13574216467698408,0.3867783240207933,1.243809772143259,0.4036041202038255,0.8751267461219738
sreality,6825000,70,4,0,1,0,0,6,velmi dobre,vybavene,osobni,Kladno,50.130787,14.121769,0.13171912225000101,0.6601858021291922,0.12073111128231903,0.08516303410761145,0.4952144418808386,2.210932883106235
sreality,10626000,66,2,1,1,0,0,4,novostavba,vybavene,osobni,Praha,50.120098,14.4767,0.3663934606790559,0.8868198820456319,0.5440339394080714,0.49400267653374136,0.47757566208862046,0.9363316091503425
sreality,12490000,106,3,1,1,1,1,2,velmi dobre,vybavene,osobni,Praha 10,50.051746,14.526683,0.15809198152479617,0.908658858542932,0.4860497443381567,0.16920214000676925,0.4045427052529637,0.7221405200592342
sreality,6290400,80,3,0,1,0,0,5,dobre,vybavene,osobni,Plzeň,49.738426,13.393032,0.08008399873762771,0.6442523815013566,0.21277036769928584,0.5326083092711532,0.08905235755318182,0.037726546848899374
sreality,12360000,114,3,0,1,1,0,3,velmi dobre,vybavene,osobni,Brno,49.200058,16.611641,0.15475369227900548,0.9993562692420661,0.1731256336570141,0.3193371790872347,0.05893950138901873,0.22178598823118326
sreality,6320000,35,2,1,1,1,0,8,velmi dobre,vybavene,osobni,Praha,50.023621,14.453553,0.14456803317751316,1.2883502145845014,0.33177539628953273,0.4590455658612116,0.3223943066905711,0.9680903441575692
sreality,9790000,69,2,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha,50.097118,14.480231,0.13088551583457272,0.8652089469837863,0.33682540036652947,0.4890049929563743,0.5244218880855774,0.7142736199289652
sreality,12990000,76,3,1,1,0,1,1,velmi dobre,vybavene,osobni,Praha 10,50.042538,14.549793,0.2313284889320204,1.6119940615717196,0.9284993752827154,0.4173449492977533,0.26820260577602206,2.459825446889413
sreality,8495000,59,2,0,0,0,0,1,velmi dobre,vybavene,osobni,Praha 9,50.108452,14.509345,0.2365255911955258,0.558806292555531,0.34776719789497346,0.3433468810397449,0.24682004538411528,0.9993831915248702
sreality,6850000,47,2,0,0,0,0,2,dobre,vybavene,osobni,Praha 10,50.066044,14.482316,0.5975893379447688,0.97704120471285,0.5509366088580235,0.569590005135605,0.42642929755280257,0.5590891939610216
sreality,4490000,42,2,1,0,0,0,1,velmi dobre,vybavene,osobni,Plzeň,49.747375,13.366803,0.17721590842111082,1.6057039814160634,0.5835404304545888,0.35630400501513415,0.12626549863642075,0.5863111431338186
