source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,8300000,53,2,1,1,1,1,3,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,8300000,52,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,7999000,48,2,1,0,0,0,2,velmi dobre,vybavene,osobni,Praha 4,50.03767,14.483971,0.36787784585671557,0.4913636737961166,0.6657952684811483,0.27556079767488917,0.06586051630865944,1.1528462290611738
sreality,15890000,54,2,1,1,1,0,2,velmi dobre,vybavene,osobni,Praha 1,50.087452,14.398458,0.035891963614425586,0.8974780487500101,0.22745413883209287,0.7912075095519269,0.10630336830834017,1.2086275708622018
sreality,16399005,139,5,1,0,1,1,1,novostavba,vybavene,osobni,Praha,50.178234,14.478748,0.034409607925469834,3.841937018962045,2.499582399977896,1.393590107113874,1.5512983918307979,4.271214557751767
sreality,10490000,52,2,1,1,1,1,6,novostavba,vybavene,osobni,Praha 9,50.103771,14.520177,0.0685834065641527,0.7787580014078287,0.1392471390330355,0.5005665855770064,0.010384417227076405,1.2108774340383892
sreality,7950000,55,2,1,1,1,0,1,velmi dobre,vybavene,osobni,Brno,49.190563,16.604223,0.15801226384807648,0.6489239495610342,0.09272505124336113,0.24952337042423917,0.1446710186541393,0.27768609774351866
sreality,6900000,30,1,0,1,0,0,3,dobre,vybavene,osobni,Praha 3,50.08802,14.459814,0.10486163291919688,0.8274319976583118,0.27686533325687557,0.42038852753650563,0.1842131877547737,0.3263094505175056
sreality,15999000,89,2,0,1,0,0,2,velmi dobre,vybavene,osobni,Praha 1,50.07914,14.42746,0.16152958571045095,0.2911490300262433,0.15750651044158726,0.3374927276352332,0.15642552715983407,0.15583770602026326
sreality,3700000,39,1,1,1,0,0,6,dobre,vybavene,osobni,Plzeň,49.742882,13.382987,0.10941992139242797,0.3817933891649525,0.48397375755020566,0.5605616720190896,0.08091586586809915,0.7112886694757773
sreality,6350000,76,3,0,1,0,0,7,velmi dobre,vybavene,osobni,Plzeň,49.721355,13.377415,0.14494713272441034,2.5646021814329036,0.5196401813823998,0.18582114026064414,0.30142222755576664,2.2207586067766307
sreality,57992960,210,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
sreality,8500000,55,2,1,1,0,0,1,velmi dobre,vybavene,osobni,Praha 9,50.128319,14.500674,0.18299391652468058,0.8252287107451856,0.20086729569290204,0.2981791626454811,0.10628635668018735,1.0659330037802195
sreality,5990000,82,3,0,0,0,0,2,velmi dobre,vybavene,osobni,Plzeň,49.748219,13.41296,0.10307578572268523,1.8565078249069702,0.36835491126514874,0.1843362002624678,0.02388837562222149,1.7720270024039482
sreality,15540000,80,3,0,1,1,1,1,novostavba,vybavene,osobni,Praha 10,50.044991,14.523657,0.08172917853916857,1.5312600281892212,0.49858269021428736,0.3138963411886625,0.39324961939819814,0.7005936116026015
sreality,13550000,71,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 3,50.088318,14.4792,0.11921240111948242,1.1520015360784996,0.5150618753013363,0.34438802691793824,0.08408018429358002,0.421755103293033
sreality,8250000,57,2,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.101017,14.50702,0.14866802791952516,0.33693228196276714,0.27026404111027286,0.5975060743056091,0.337999486448964,1.1348522824746023
sreality,6990000,109,4,0,0,0,1,3,dobre,vybavene,osobni,Liberec,50.76265,15.040425,0.23851449636694774,0.4128392685729076,0.3445962360751979,0.28359678312570097,0.12350051655104463,2.2698250402594833
sreality,6390000,30,1,1,1,0,0,6,velmi dobre,vybavene,osobni,Praha 3,50.086266,14.448222,0.11126731856791001,0.7757902653716733,0.10131549406045999,0.20323806391558824,0.16458256949849126,0.47902796017811006
sreality,65055620,227,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
sreality,26820000,158,4,1,0,1,1,1,novostavba,vybavene,osobni,Praha 9,50.100903,14.685581,0.21329552518860193,3.9137841415334114,1.2394250019264728,1.3638645803277436,0.6367479998635678,0.6997022803041866
