type,lat,lon
stop,50.0980813,14.4812855
stop,50.0866999,14.4819471
stop,50.0723151,14.4923525
stop,50.0580976,14.4931896
stop,50.075522,14.4306117
stop,50.1327957,14.4536767
stop,50.075833,14.3233837
stop,49.58869,17.2838791
stop,49.5923112,17.2776274
stop,49.5918922,17.275541
stop,49.5906124,17.2702698
stop,49.5896033,17.2620808
stop,50.8011299,12.9412175
stop,50.1107085,14.5145773
stop,49.1576812,17.1872467
stop,50.068724,14.4922542
stop,50.8202757,12.9346941
stop,50.8103981,12.951234
stop,50.8280897,12.9603237
stop,50.8311942,12.9536848
stop,50.8316354,12.9495067
stop,50.8311781,12.9435798
stop,50.82306,12.930065
stop,50.8251958,12.9266199
stop,50.8284056,12.9240993
stop,50.8317294,12.9220649
stop,50.8382327,12.9292373
stop,50.8294989,12.916093
stop,50.8272,12.9145341
stop,50.8235801,12.910852
stop,50.821336,12.9065466
stop,50.8171027,12.9018594
stop,50.8138308,12.8976068
stop,50.8109129,12.89497
stop,50.8089016,12.8928565
stop,50.8054269,12.8888022
stop,50.8037903,12.8869303
stop,50.8008169,12.884573
stop,50.7918859,12.8793338
stop,50.7830113,12.8767735
stop,50.7948534,12.8901389
stop,50.7975934,12.8968412
stop,50.797477,12.9025299
stop,50.7963785,12.9076301
stop,50.7986569,12.9135717
stop,50.8058079,12.9118415
stop,50.8110839,12.9118793
stop,50.8170673,12.9141671
stop,50.796149,12.9182983
stop,50.7941625,12.9221233
stop,50.7909808,12.9259185
stop,50.8275985,12.9117269
stop,50.8251087,12.9017024
stop,50.8237722,12.8963551
stop,50.8225253,12.8865056
stop,50.8216819,12.8810379
stop,50.82077,12.8754256
stop,50.8306443,12.9377128
stop,50.8318008,12.9317269
stop,50.8333324,12.9270579
stop,50.8347599,12.9246158
stop,50.8331553,12.9251114
stop,50.8318078,12.9230392
stop,50.8225631,12.9637667
stop,50.7859196,12.8792287
stop,50.8295543,12.9200106
stop,50.8286636,12.9228308
stop,50.8191305,12.9149963
stop,50.0652423,14.4928833
stop,50.9633332,13.4237058
stop,49.8883433,14.4137618
stop,51.0279571,13.7157263
stop,50.0509204,14.4821941
stop,49.1450635,16.8778732
stop,49.0518932,16.9530515
stop,50.7838605,14.2084731
stop,51.0300211,13.7220525
stop,51.0315,13.7262928
stop,51.0299421,13.7212984
stop,51.0314511,13.7256234
stop,50.1172821,14.4740313
stop,49.5125766,12.6126334
stop,51.0352162,13.7313147
stop,49.0739769,13.1564226
stop,48.9955202,13.6546463
stop,48.9469929,13.715138
stop,48.7911156,16.6735944
stop,50.1427659,14.5066507
stop,50.1168572,14.5141813
stop,50.114084,14.5123005
stop,49.967505,14.514715
stop,49.6940587,17.0508162
stop,49.8891122,14.4220241
stop,50.8132247,12.7453498
stop,51.0134987,15.4409698
stop,50.1009391,14.4500341
stop,49.1768805,13.1339263
stop,49.1188878,13.1948089
stop,49.0909136,13.198595
stop,49.6945584,12.9202288
stop,50.0433245,14.5572984
stop,50.0410018,14.5519926
stop,49.1835121,16.3905029
stop,49.6415264,16.0964655
stop,50.0253028,14.4343598
stop,50.0207961,14.4383899
stop,50.0169996,14.4329483
