source,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished
idnes,Prodej bytu 1+kk 39 m²,6690000,39,1+kk,"U Smetanky, Praha 9 - Hrdlořezy",50.09343893,14.51391246,0,1,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+kk 116 m²,9500000,116,3+kk,"Chopinova, Mariánské Lázně, okres Cheb",49.989777,12.699244,1,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 3+1 73 m²,2699000,73,3+1,"Sídliště, Hroznětín, okres Karlovy Vary",50.3115403,12.8697898,1,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+kk 57 m²,9249900,57,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,ve výstavbě,
idnes,Prodej bytu 3+kk 82 m²,13763900,82,3+kk,"U jízdárny, Praha 8 - Dolní Chabry",,,1,1,1,1,ve výstavbě,
idnes,Prodej bytu 4+kk 106 m²,19456900,106,4+kk,"U jízdárny, Praha 8 - Dolní Chabry",,,1,1,1,3,ve výstavbě,
idnes,Prodej bytu 2+kk 42 m²,8019900,42,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,ve výstavbě,
idnes,Prodej bytu 3+kk 82 m²,12897900,82,3+kk,"U jízdárny, Praha 8 - Dolní Chabry",,,1,1,1,1,ve výstavbě,
idnes,Prodej bytu 1+kk 28 m²,5979900,28,1+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,2,ve výstavbě,
idnes,Prodej bytu 4+kk 118 m²,23989900,118,4+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,3,novostavba,
idnes,Prodej bytu 4+kk 101 m²,17033900,101,4+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,novostavba,
idnes,Prodej bytu 3+kk 78 m²,12449900,78,3+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,2,novostavba,
idnes,Prodej bytu 3+kk 90 m²,14433900,90,3+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,novostavba,
idnes,Prodej bytu 2+kk 53 m²,10840900,53,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,novostavba,
idnes,Prodej bytu 2+kk 52 m²,8300000,52,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,1,novostavba,
idnes,Prodej bytu 2+kk 45 m²,5690000,45,2+kk,"V Honech, Klecany, okres Praha-východ",50.183265,14.423587,1,1,0,3,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 53 m²,8300000,53,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",,,1,1,1,2,novostavba,
idnes,Prodej bytu 2+kk 54 m²,15890000,54,2+kk,"Vlašská, Praha 1 - Malá Strana, okres Praha",50.0874519,14.3984585,1,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 45 m²,7290000,45,2+kk,"5. května, Praha 4 - Nusle",50.060900424853045,14.431178953541053,1,0,0,1,po rekonstrukci,
idnes,Prodej bytu 3+1 84 m²,3390000,84,3+1,"Alšova, Sokolov",50.1740063,12.6708858,0,1,0,4,velmi dobrý stav,
idnes,Prodej bytu 3+1 67 m²,7995000,67,3+1,"Přímětická, Praha 4 - Michle",50.0465782,14.4482643,0,0,0,1,před rekonstrukcí,nevybaveny
idnes,Prodej bytu 3+kk 78 m²,5790000,78,3+kk,"Sadovská, Hradec Králové",50.2163136,15.8196362,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 2+kk 56 m²,16490000,56,2+kk,"Polská, Praha 2 - Vinohrady",50.0787412719,14.4460549371,1,0,0,6,novostavba,
idnes,Prodej bytu 3+kk 82 m²,14000000,82,3+kk,"Petržílkova, Praha 5 - Stodůlky",50.0510774329,14.3434709587,1,1,1,1,novostavba,vybaveny
idnes,Prodej bytu 3+kk 73 m²,9690000,73,3+kk,"Na Sídlišti III, Průhonice, okres Praha-západ",50.0054951,14.5551142,0,0,0,1,po rekonstrukci,vybaveny
idnes,Prodej bytu 2+kk 52 m²,10490000,52,2+kk,"Poděbradská, Praha 9 - Hloubětín, okres Praha",50.1037712,14.5201769,1,1,0,5,novostavba,vybaveny
idnes,Prodej bytu 5+1 177 m²,11900000,177,5+1,"Matice školské, České Budějovice - České Budějovice 7",48.9657854,14.473778,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 2+kk 60 m²,4690000,60,2+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,4,novostavba,
idnes,Prodej bytu 4+kk 136 m²,7800000,136,4+kk,"Chopinova, Mariánské Lázně, okres Cheb",49.989777,12.699244,1,1,0,1,velmi dobrý stav,vybaveny
idnes,Prodej bytu 2+kk 64 m²,5579000,64,2+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,4,novostavba,
idnes,Prodej bytu 3+kk 130 m²,8990000,130,3+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,1,novostavba,
idnes,Prodej bytu 3+kk 86 m²,9079000,86,3+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,5,novostavba,
idnes,Prodej bytu 3+kk 62 m²,4350000,62,3+kk,"Hlavní třída, Mariánské Lázně, okres Cheb",49.9653325,12.7017112,0,0,0,1,po rekonstrukci,vybaveny
idnes,Prodej bytu 1+kk 48 m²,4990000,48,1+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,5,novostavba,
idnes,Prodej bytu 2+kk 116 m²,6379000,116,2+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,1,novostavba,
idnes,Prodej bytu 2+kk 52 m²,4379000,52,2+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,5,novostavba,
idnes,Prodej bytu 3+kk 97 m²,8179000,97,3+kk,"Pod Strání, Hůry, okres České Budějovice",49.006487,14.5410833,1,1,1,4,novostavba,
idnes,Prodej bytu 3+1 73 m²,2830000,73,3+1,"Zdeňka Štěpánka, Chomutov",50.459706702855,13.414268023706,0,0,1,3,velmi dobrý stav,
idnes,Prodej bytu 4+kk 112 m²,13520000,112,4+kk,"Koliště, Brno - Zábrdovice",49.1964775,16.6155624,1,1,0,3,velmi dobrý stav,
