source,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership
sreality,13490000,62,2+kk,"Pernerova, Praha 8 - Karlín",50.090775,14.452274,1,0,0,6,Ve výstavbě,nevybaveny,osobni
sreality,9943186,62,3+kk,"Brno, okres Brno-město",49.197521,16.658121,0,1,1,2,Novostavba,,osobni
sreality,7932389,42,2+kk,"Švehlova, Praha 10 - Hostivař",50.055046,14.516415,1,1,1,2,Novostavba,nevybaveny,osobni
sreality,8750000,75,3+kk,"Pražská, Kladno - Kročehlavy",50.136322,14.126186,0,1,0,4,Ve výstavbě,,osobni
sreality,20043000,79,2+1,"Karlova, Praha 1 - Staré Město",50.086048,14.418432,1,0,0,3,Velmi dobrý,vybaveny,osobni
sreality,10998000,64,2+kk,"Magistrů, Praha 4 - Michle",50.059765,14.4549,1,0,0,6,Novostavba,,osobni
sreality,3490000,53,2+kk,"Závodu míru, Karlovy Vary - Stará Role",50.246712,12.829606,0,0,0,1,Velmi dobrý,,osobni
sreality,5490000,45,2+kk,"Okružní, Lysá nad Labem",50.21133,14.842363,0,1,0,4,Po rekonstrukci,,osobni
sreality,8200000,29,1+kk,"Varšavská, Praha - Vinohrady",50.072369,14.439642,0,0,1,1,Novostavba,,osobni
sreality,6450000,28,1+kk,"Podskalská, Praha 2 - Nové Město",50.068848,14.415784,1,0,0,3,Dobrý,nevybaveny,
sreality,9490000,71,3+kk,"Slunečná, Veliká Ves",50.242378,14.459945,0,0,1,1,Dobrý,nevybaveny,osobni
sreality,5450000,32,1+kk,"Nikoly Vapcarova, Praha 4 - Modřany",50.005833,14.421942,1,0,0,5,Dobrý,,osobni
sreality,10450000,59,2+kk,"Plavínová, Říčany - Radošovice",50.006981,14.665286,0,0,1,1,Velmi dobrý,castecne vybaveny,osobni
sreality,5850000,37,1+kk,"Boloňská, Praha 10 - Horní Měcholupy",50.048801,14.560286,1,1,0,2,Dobrý,nevybaveny,osobni
sreality,10606750,72,,"Slavíkova, Jince",49.78857,13.978034,0,1,0,1,Novostavba,,osobni
sreality,7012700,74,2+1,"Mladá Boleslav - Michalovice, okres Mladá Boleslav",50.434406,14.887793,1,1,1,3,Novostavba,,osobni
sreality,5390000,55,3+kk,"Svobody, Liberec - Liberec XV-Starý Harcov",50.767399,15.088365,0,0,1,2,Po rekonstrukci,vybaveny,osobni
sreality,30900000,193,5+kk,"Pod bateriemi, Praha 6 - Střešovice",50.092335,14.372681,0,1,1,3,Novostavba,,osobni
sreality,6690000,39,1+kk,"U Smetanky, Praha - Hrdlořezy",50.093254,14.513268,0,1,0,3,Velmi dobrý,nevybaveny,osobni
sreality,5690000,44,2+kk,"V Honech, Klecany",50.183266,14.423587,1,1,0,4,Velmi dobrý,vybaveny,osobni
sreality,19456900,106,4+kk,"U jízdárny, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,4,Ve výstavbě,nevybaveny,osobni
sreality,12897900,82,3+kk,"U jízdárny, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,2,Ve výstavbě,nevybaveny,osobni
sreality,13763900,82,3+kk,"U jízdárny, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,1,Ve výstavbě,nevybaveny,osobni
sreality,9249900,57,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,2,Ve výstavbě,nevybaveny,osobni
sreality,8019900,42,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,1,Ve výstavbě,nevybaveny,osobni
sreality,6604000,89,3+kk,"Pražská, Hořovice",49.83606,13.90457,0,1,0,4,Dobrý,vybaveny,osobni
sreality,5979900,28,1+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140678,14.445428,1,1,1,3,Ve výstavbě,nevybaveny,osobni
sreality,23989900,118,4+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,4,Novostavba,nevybaveny,osobni
sreality,17033900,101,4+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,1,Novostavba,nevybaveny,osobni
sreality,14433900,90,3+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,1,Novostavba,nevybaveny,osobni
sreality,12449900,78,3+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,3,Novostavba,nevybaveny,osobni
sreality,10840900,53,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,1,Novostavba,nevybaveny,osobni
sreality,8300000,53,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,3,Novostavba,nevybaveny,osobni
sreality,8300000,52,2+kk,"Kadaňská, Praha 8 - Dolní Chabry",50.140007,14.447172,1,1,1,2,Novostavba,nevybaveny,osobni
sreality,7999000,48,2+kk,"Kloboukova, Praha 4 - Chodov",50.03767,14.483971,0,0,0,2,Velmi dobrý,castecne vybaveny,osobni
sreality,15890000,54,2+kk,"Vlašská, Praha 1 - Malá Strana",50.087452,14.398458,1,1,0,2,Velmi dobrý,vybaveny,osobni
sreality,6490000,70,3+kk,"Nová, Kouřim",50.002731,14.968456,0,1,1,1,Ve výstavbě,,osobni
sreality,7690000,87,4+kk,"Nová, Kouřim",50.002731,14.968456,0,1,1,1,Ve výstavbě,,osobni
sreality,7290000,45,2+kk,"5. května, Praha 4 - Nusle",50.060902,14.431178,1,0,0,2,Po rekonstrukci,,osobni
sreality,5790000,77,3+kk,"Sadovská, Hradec Králové",50.216312,15.819636,0,0,0,1,Dobrý,,osobni
sreality,16399005,139,5+kk,"Bořanovice, okres Praha-východ",50.178234,14.478748,0,1,1,1,Novostavba,nevybaveny,osobni
sreality,10490000,52,2+kk,"Poděbradská, Praha 9 - Hloubětín",50.103771,14.520177,1,1,1,6,Novostavba,vybaveny,osobni
sreality,5450000,25,1+kk,"Plzeňská, Praha 5 - Košíře",50.070663,14.380731,0,0,0,2,Velmi dobrý,,osobni
sreality,7950000,55,2+kk,"Kopečná, Brno - Staré Brno",49.190563,16.604223,1,1,0,1,Velmi dobrý,vybaveny,osobni
sreality,6900000,30,1+1,"Roháčova, Praha 3 - Žižkov",50.08802,14.459814,1,0,0,3,Dobrý,vybaveny,osobni
sreality,15999000,89,2+1,"Ve Smečkách, Praha 1 - Nové Město",50.07914,14.42746,1,0,0,2,Velmi dobrý,vybaveny,osobni
