source,id,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership
bezrealitky,1000133,Prodej bytu 3+kk,13200000,78,3+kk,"Jeřabinová, Praha - Motol",50.0749772,14.3584064,1,0,1,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,953410,Prodej bytu 2+kk,6990000,45,2+kk,"Zahradníčkova, Praha - Košíře",50.0690666,14.3525036,0,0,0,1,dobry,castecne vybaveny,osobni
bezrealitky,1005661,Prodej bytu 2+1,11800000,70,2+1,"Vrchlického, Praha - Košíře",50.0697628,14.3801328,1,0,1,4,velmi dobry,castecne vybaveny,osobni
bezrealitky,1001613,Prodej bytu 2+kk,6850000,45,2+kk,"Kurzova, Praha - Stodůlky",50.0362635,14.3405291,1,0,0,2,dobry,vybaveny,osobni
bezrealitky,1004951,Prodej bytu 2+kk,3950000,51,2+kk,"Školní, Vsetín - Vsetín, Zlínský kraj",49.33974565,17.988675914423,0,0,0,3,velmi dobry,,osobni
bezrealitky,1005347,Prodej bytu 3+1,6100000,65,3+1,"U Růžáku, Nymburk - Nymburk, Středočeský kraj",50.183386,15.0312897,0,0,1,1,velmi dobry,,osobni
bezrealitky,1005312,Prodej bytu 2+1,3900000,53,2+1,"Sokolská třída, Ostrava - Moravská Ostrava, Moravskoslezský kraj",49.8493753,18.2818306,0,0,0,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,1005337,Prodej bytu 3+kk,3900000,70,3+kk,"Hlinsko - Chlum u Hlinska, Pardubický kraj",49.7184238,15.86152,0,0,1,1,in_reconstruction,nevybaveny,druzstevni
bezrealitky,994014,Prodej bytu 2+kk,3600000,54,2+kk,"Na Jezerce, Praha - Nusle",50.0592992,14.4459356,0,0,0,1,dobry,nevybaveny,druzstevni
bezrealitky,993971,Prodej bytu 3+kk,3990000,62,3+kk,"Palackého, Chotěboř - Chotěboř, Kraj Vysočina",49.7229714,15.6716944,0,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1004524,Prodej bytu 1+1,7500000,43,1+1,"Strančická, Praha - Strašnice",50.066015,14.497005,1,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1005289,Prodej bytu 2+1,5690000,63,2+1,"Nová Pec - Nová Pec, Jihočeský kraj",48.7861836,13.9593163,0,0,1,1,velmi dobry,vybaveny,osobni
bezrealitky,1003597,Prodej bytu 3+kk,6700000,89,3+kk,"Nemocniční, Mělník - Mělník, Středočeský kraj",50.3475679,14.4869188,0,0,0,6,dobry,castecne vybaveny,osobni
bezrealitky,993740,Prodej bytu 3+kk,6200000,72,3+kk,"Generála Selnera, Kladno - Kročehlavy, Středočeský kraj",50.1341525,14.1411967,1,0,1,1,velmi dobry,vybaveny,druzstevni
bezrealitky,993751,Prodej bytu 4+1,5900000,77,4+1,"Kubelíkova, Liberec - Horní Růžodol, Liberecký kraj",50.7514678,15.0323373,0,0,1,2,velmi dobry,,osobni
bezrealitky,1003586,Prodej bytu 2+kk,6800000,47,2+kk,"Milánská, Praha - Horní Měcholupy",50.0423758,14.554747,0,0,1,1,dobry,vybaveny,osobni
bezrealitky,993732,Prodej bytu 3+1,19180000,95,3+1,"Křižíkova, Praha - Karlín",50.0926733,14.4512708,1,0,0,1,velmi dobry,nevybaveny,osobni
bezrealitky,1004972,Prodej bytu 2+1,3790000,54,2+1,"Nádražní, Jindřichův Hradec - Jindřichův Hradec, Jihočeský kraj",49.151253,15.0028957,0,0,0,5,velmi dobry,nevybaveny,osobni
bezrealitky,979242,Prodej bytu 2+kk,5750000,45,2+kk,"V Jezírkách, Praha - Chodov",50.026532,14.5188013,1,0,0,3,velmi dobry,castecne vybaveny,druzstevni
bezrealitky,993759,Prodej bytu 3+kk,8700000,78,3+kk,"Dukelských hrdinů, Kolín - Kolín, Středočeský kraj",50.0236848,15.2119002,0,0,1,1,dobry,,osobni
bezrealitky,993719,Prodej bytu 2+kk,4680000,51,2+kk,"Bezručova, Otrokovice - Otrokovice, Zlínský kraj",49.2026813,17.5352,0,0,0,2,po rekonstrukci,castecne vybaveny,osobni
bezrealitky,1004962,Prodej bytu 2+kk,10500000,62,2+kk,"Sochorova, Brno - Žabovřesky, Jihomoravský kraj",49.2133235,16.5656205,1,0,0,2,velmi dobry,vybaveny,osobni
bezrealitky,1004943,Prodej bytu 3+1,4000000,69,3+1,"Václava Košaře, Ostrava - Dubina u Ostravy, Moravskoslezský kraj",49.775094,18.2578711,0,0,0,2,spatny,nevybaveny,druzstevni
bezrealitky,1003143,Prodej bytu 4+kk,8700000,115,4+kk,"Malá Hraštice - Malá Hraštice, Středočeský kraj",49.8102038,14.2701708,0,0,1,1,velmi dobry,castecne vybaveny,osobni
bezrealitky,994817,Prodej bytu 1+kk,6435000,38,1+kk,"Boloňská, Praha - Horní Měcholupy",50.0485627,14.5593618,1,0,0,6,novostavba,castecne vybaveny,osobni
bezrealitky,1004559,Prodej bytu 3+kk,8990000,65,3+kk,"Jaromírova, Praha - Nusle",50.0651719,14.4299354,0,0,0,1,dobry,castecne vybaveny,osobni
bezrealitky,1000548,Prodej bytu 2+kk,6180000,40,2+kk,"Makovského, Praha - Řepy",50.0632765,14.3107686,1,0,0,11,velmi dobry,castecne vybaveny,osobni
bezrealitky,993459,Prodej bytu 3+kk,11690000,81,3+kk,"Ohradní, Praha - Michle",50.0507207,14.4523363,1,0,1,7,po rekonstrukci,castecne vybaveny,osobni
bezrealitky,708384,Prodej bytu 3+kk,13900000,90,3+kk,"Údolní, Brno - Veveří, Jihomoravský kraj",49.1985063,16.5909764,1,0,0,5,novostavba,,osobni
bezrealitky,1004475,Prodej bytu 3+1,4950000,79,3+1,"Štefánikova, Zlín - Zlín, Zlínský kraj",49.2247799,17.677219,0,0,1,1,pred rekonstrukci,nevybaveny,osobni
bezrealitky,1004560,Prodej bytu 2+1,3690000,47,2+1,"Masarykova, Nové Město na Moravě - Nové Město na Moravě, Kraj Vysočina",49.5640675,16.0785338,1,0,0,4,velmi dobry,nevybaveny,druzstevni
bezrealitky,1004493,Prodej bytu 2+kk,4489200,42,2+kk,"Nad Stadionem, Králův Dvůr - Králův Dvůr, Středočeský kraj",49.9451354,14.0258141,0,0,0,4,spatny,vybaveny,osobni
bezrealitky,1004530,Prodej bytu 3+1,3500000,64,3+1,"Výškovická, Ostrava - Zábřeh nad Odrou, Moravskoslezský kraj",49.79482775,18.232179,1,0,1,7,pred rekonstrukci,vybaveny,osobni
bezrealitky,1004205,Prodej bytu 3+1,4900000,71,3+1,"Baarova, Litoměřice - Litoměřice, Ústecký kraj",50.5382963,14.1404728,0,0,1,1,velmi dobry,nevybaveny,osobni
bezrealitky,1002387,Prodej bytu 2+kk,7990000,44,2+kk,"Vlastina, Praha - Ruzyně",50.0893611,14.3080773,1,0,0,4,novostavba,,osobni
bezrealitky,1003196,Prodej bytu 2+kk,8984000,107,2+kk,"Milana Ticháka, Olomouc - Nová Ulice, Olomoucký kraj",49.5807702,17.2199621,1,0,1,2,novostavba,castecne vybaveny,osobni
bezrealitky,991687,Prodej bytu 4+kk,20800000,132,4+kk,"Sokolovská, Praha - Vysočany",50.1100514,14.4978025,1,0,1,1,after_partial_reconstruction,castecne vybaveny,osobni
bezrealitky,998984,Prodej bytu 1+1,6490000,45,1+1,"Katovická, Praha - Bohnice",50.1315759,14.4258976,1,0,1,4,after_partial_reconstruction,castecne vybaveny,osobni
bezrealitky,1004207,Prodej bytu 3+1,6990000,80,3+1,"Kupkova, Břeclav - Břeclav, Jihomoravský kraj",48.763903,16.8843191,0,0,0,1,velmi dobry,vybaveny,osobni
bezrealitky,1004229,Prodej bytu 4+kk,11290000,80,4+kk,"Emilie Hyblerové, Praha - Háje",50.0331558,14.5266554,1,0,0,2,velmi dobry,,osobni
bezrealitky,982395,Prodej bytu 3+kk,7990000,75,3+kk,"Peškova, Olomouc - Povel, Olomoucký kraj",49.5709133,17.2530341,1,0,1,1,velmi dobry,vybaveny,osobni
bezrealitky,1002822,Prodej bytu 4+kk,4490000,107,4+kk,"náměstí Míru, Svitavy - Svitavy-předměstí, Pardubický kraj",49.7553162,16.4713511,0,0,0,2,velmi dobry,nevybaveny,osobni
bezrealitky,993702,Prodej bytu 3+kk,5300000,81,3+kk,"Okružní, Žďár nad Sázavou - Město Žďár, Kraj Vysočina",49.5657991,15.9240461,0,0,1,1,velmi dobry,castecne vybaveny,
bezrealitky,1004195,Prodej bytu 3+kk,13995860,83,3+kk,"Kytlická, Praha - Prosek",50.1267779,14.5050594,1,0,1,3,velmi dobry,vybaveny,osobni
bezrealitky,977957,Prodej bytu 3+1,4200000,84,3+1,"17. listopadu, Louny - Louny, Ústecký kraj",50.3574374,13.7842017,1,0,0,2,po rekonstrukci,castecne vybaveny,druzstevni
bezrealitky,1004186,Prodej bytu 3+kk,5690000,69,3+kk,"třída Svobody, Zlín - Malenovice u Zlína, Zlínský kraj",49.2051541,17.5852363,0,0,1,3,velmi dobry,castecne vybaveny,osobni
bezrealitky,1004176,Prodej bytu 2+1,5490000,55,2+1,"Nejedlého, Sezemice - Sezemice nad Loučnou, Pardubický kraj",50.0688737,15.8497324,0,0,1,2,velmi dobry,castecne vybaveny,osobni
bezrealitky,1002301,Prodej bytu 2+kk,8900000,59,2+kk,"V Dolině, Praha - Michle",50.0576089,14.4687153,1,0,1,2,velmi dobry,,osobni
